Model,Train_Acc,Test_Acc,F1_Score,CV_Mean,CV_Std,FAR,FRR,Overfit_Gap
Logistic Regression,1.0,0.9948816378758797,0.9948972947121881,0.9917740596346833,0.0013429257985164774,1.0,0.005118362124120281,0.0051183621241203126
LDA,0.9969838223197148,0.9942418426103646,0.994276136419438,0.9931451249007291,0.00038639824091184487,1.0,0.005758157389635317,0.002741979709350195
SVM (RBF),1.0,0.9923224568138196,0.9922203633118032,0.989581077178543,0.002048936385309261,1.0,0.007677543186180422,0.007677543186180413
Naive Bayes,0.9972580202906498,0.9923224568138196,0.9923739642469026,0.9876608638365462,0.0006758869664459186,1.0,0.007677543186180422,0.004935563476830218
Stacking Ensemble,1.0,0.9923224568138196,0.992196725555688,0.0,0.0,1.0,0.007677543186180422,0.007677543186180413
KNN (k=5),0.9895804771044694,0.9904030710172744,0.9903418288953828,0.9860159013789618,0.0020143903150141203,1.0,0.009596928982725527,-0.0008225939128050364
MLP Neural Net,0.99890320811626,0.9897632757517595,0.9898441247338188,0.9819047361201357,0.004695805929313166,1.0,0.010236724248240563,0.009139932364500503
Random Forest,1.0,0.9852847088931542,0.985283819300182,0.9775160638221068,0.002155479112815446,1.0,0.01471529110684581,0.014715291106845774
Gradient Boosting,1.0,0.9513755598208573,0.9508623673835235,0.9248702710995597,0.0016670908047386472,1.0,0.04862444017914268,0.04862444017914269
